src,dst,total_value,min_gas_price,transaction_count
0xd7f412768d6de57e240c33c9085244392b5f695d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,30000000000000000,12448620305,79
0xc59eea9d04385187a445bce6b9a14f4141bf4561,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1975000000000000000,12727411609,146
0xb24e111931c74beae75e71e07173057155cb0f95,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1856707779210822987,14742013686,88
0x90e49a27f4c4e2b070f8ef9439403b3f8f236988,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,12461000000000000000,14959072802,79
0xf81aa352640cd9ab5460f83dd20d74488e030d8e,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,12385903688178296415,13673577969,209
0xefeda06e21920b6efbd512253b8b7b405d11a2dc,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,13865564169190871922,45112218300,99
0x6b485d535e2e6116f82576024b6fea09b9e1d693,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,7669000000000000840,12417697501,99
0x5a803bad62e4024cce3be42e687596a9e8ae44f7,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,9544760397785859366,14047529017,110
0x0f9a7dbd573dfb9a368dc0b8b18c2e0e98a4464e,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,3135295051196512084,12280141544,146
0x58e8e3f3509b63cbae0d69f0bf1301f8a8a08dd6,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,11055422835783538936,12525849878,256
0xe8c13c245c4de3bb9112984b368ceb9aab8e6e59,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,14927760000000000000,19032505272,182
0x42f087005aa7564e3ae0aca2e5ac607a51b0dead,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,6251878712800347625,12453642103,167
0x26663df4bdb9983466fc83cdf527c973f92428e7,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,16960734631075707933,12003059899,246
0x0acefaf18ebf1f4a68b056dd2338468f474625e5,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,1501000000000000000,9919906764,68
0xe51b05ae6a5bdfb03545e4bb14dd42067f6c1ccc,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,15466062167201681727,10974979735,238
0x1fb2163d12ba6550cae05d92630fef2a485d98f9,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,9146151903903833300,11691940692,184
0x01f5af303f97a07b683e1e5482af7a42d47e8087,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,3020320389705747655,10634545952,69
0x0f88d8990b4efe4e3e7890bf9d536ef14d3e842f,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,9671001312191312881,11511660008,136
0x0737880a1866bfbda9dea62c91ba00df6c79f395,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,9001810000000000000,11928796286,194
0xc5a93444cc4da6efb9e6fc6e5d3cb55a53b52396,0x1f97505874067e5c926b4e40d0524d4fe0fdbc62,327635000000000000,12131138709,78
0xf8efd62b7f6e397a387a7fb232a54fe8f59c6b2a,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,21200000000000000000,11032505272,317
0x601a63c50448477310fedb826ed0295499baf623,0xa5f2211b9b8170f694421f2046281775e8468044,0,11375862057,91
0x4559ca770e7f95fce15bc54c8d09abdd3b5c660c,0xdac17f958d2ee523a2206206994597c13d831ec7,0,10552622259,5116
0x8ab399cbb9fdb9a36518a7e7eddf89158e56c595,0xdac17f958d2ee523a2206206994597c13d831ec7,0,11502072714,246
0x3c02290922a3618a4646e3bbca65853ea45fe7c6,0xdac17f958d2ee523a2206206994597c13d831ec7,0,10515635772,337
0xa910f92acdaf488fa6ef02174fb86208ad7722ba,0xdac17f958d2ee523a2206206994597c13d831ec7,0,10542476960,472
0x2815b1439ce47acfda42db7d89044e7d2629bee8,0xdac17f958d2ee523a2206206994597c13d831ec7,0,75000000000,284
0xa299c04eb002e667bcb6c0d38a024eb5022a5e1a,0xdac17f958d2ee523a2206206994597c13d831ec7,0,10300851654,946
