source,target,total_value,min_gas_price,transaction_count
0x1e6c02d4f25dff92b8355abbac1b9522e0a7e8e9,0x00000000006c3852cbef3e08e8df289169ede581,7181090000000000000,10120627163,64
0xacc7feeb67c8c6f77650a0e5c12d3128bc837c37,0x00000000006c3852cbef3e08e8df289169ede581,0,12387735750,80
0xb4f22341ab038e18a5551c622c24ec8c63ef60ac,0x00000000006c3852cbef3e08e8df289169ede581,1933379799999999998,12624552159,61
0x846288c4f9fe8aef9ac643863ebc3bc250ea88e8,0x00000000006c3852cbef3e08e8df289169ede581,1095299999999999998,11190759889,76
0x2333cef87c2120509e3af454f40d00673a041da1,0x00000000006c3852cbef3e08e8df289169ede581,1286868780000000000,11645009807,98
0x24c9b3fd78e0bc0bf376b1c32ca8f1fec6fe24d2,0x00000000006c3852cbef3e08e8df289169ede581,889165998000000000,11205241020,70
0xb13cabc948fce7fed894f6a827823d22f02ffc0b,0x00000000006c3852cbef3e08e8df289169ede581,7188840000000000000,12887911826,76
0x98e0b03e9a722b57ce97eeb0eb2930c6fec55584,0x00000000006c3852cbef3e08e8df289169ede581,2004500000000000000,12127808302,44
0xba26877c2036e1f2baba63bdd5bfe996b050e13c,0x0000000000a39bb272e79075ade125fd351887ac,356010000000000000000,11458843526,114
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x00281dfce4cfd72c0b6fda2aaaf077258743f9e8,0,12321915801,67
0xa152f8bb749c55e9943a3a0a3111d18ee2b3f94e,0x00a8b738e453ffd858a7edf03bccfe20412f0eb0,0,10325413477,133
0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91,0x00a8b738e453ffd858a7edf03bccfe20412f0eb0,0,11687874526,495
0x28c6c06298d514db089934071355e5743bf21d60,0x0258f474786ddfd37abce6df6bbb1dd5dfc4434a,0,12068011974,59
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x02d3a27ac3f55d5d91fb0f52759842696a864217,0,11990380833,91
0x30741289523c2e4d2a62c7d6722686d14e723851,0x0316eb71485b0ab14103307bf65a021042c6d380,0,20000000000,64
0x28c6c06298d514db089934071355e5743bf21d60,0x0391d2021f89dc339f60fff84546ea23e337750f,0,12282408839,79
0x120051a72966950b8ce12eb5496b5d1eeec1541b,0x04c17b9d3b29a78f7bd062a57cf44fc633e71f85,0,18578110329,493
0x21a31ee1afc51d94c2efccaa2092ad1028285549,0x04fa0d235c4abf4bcf4787af4cf447de572ef828,0,11773217809,123
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0x04fa0d235c4abf4bcf4787af4cf447de572ef828,0,11641373362,129
0x28c6c06298d514db089934071355e5743bf21d60,0x04fa0d235c4abf4bcf4787af4cf447de572ef828,0,11943712860,133
0x9acbb72cf67103a30333a32cd203459c6a9c3311,0x04fa0d235c4abf4bcf4787af4cf447de572ef828,0,14000000000,107
0x061f7937b7b2bc7596539959804f86538b6368dc,0x0635cf48342199b3ae93630ce651f31e37320c6a,121365694617378793,11126812157,66
